timestamp;bytes_sent;bytes_recv;packets_sent;packets_recv;errin;errout;dropin;dropout
2024-08-20 03:56:49.014779;3673166;3779073;6574;6645;0;0;0;0
2024-08-20 03:56:51.017669;3680606;3785301;6666;6739;0;0;0;0
2024-08-20 03:56:53.020549;3680606;3785301;6666;6739;0;0;0;0
2024-08-20 03:56:55.023540;3680606;3785301;6666;6739;0;0;0;0
2024-08-20 03:56:57.026639;3680606;3785301;6666;6739;0;0;0;0
2024-08-20 03:56:59.029601;3680768;3785353;6667;6740;0;0;0;0
2024-08-20 03:57:01.032684;3680768;3785353;6667;6740;0;0;0;0
2024-08-20 03:57:03.035969;3680768;3785353;6667;6740;0;0;0;0
2024-08-20 03:57:05.039017;3681128;3785657;6671;6744;0;0;0;0
2024-08-20 03:57:07.041942;3681488;3785961;6675;6748;0;0;0;0
2024-08-20 03:57:09.044956;3681772;3786089;6677;6750;0;0;0;0
2024-08-20 03:57:11.048033;3681814;3786117;6678;6751;0;0;0;0
2024-08-20 03:57:13.051177;3682008;3786169;6679;6752;0;0;0;0
2024-08-20 03:57:15.054172;3682008;3786169;6679;6752;0;0;0;0
2024-08-20 03:57:17.057334;3682202;3786221;6680;6753;0;0;0;0
2024-08-20 03:57:19.060294;3682202;3786221;6680;6753;0;0;0;0
2024-08-20 03:57:21.063438;3682396;3786273;6681;6754;0;0;0;0
2024-08-20 03:57:23.066475;3682486;3786349;6682;6755;0;0;0;0
2024-08-20 03:57:25.069567;3682680;3786401;6683;6756;0;0;0;0
2024-08-20 03:57:27.072629;3682680;3786401;6683;6756;0;0;0;0
2024-08-20 03:57:29.075742;3682874;3786453;6684;6757;0;0;0;0
2024-08-20 03:57:31.078982;3682874;3786453;6684;6757;0;0;0;0
2024-08-20 03:57:33.081899;3683068;3786505;6685;6758;0;0;0;0
2024-08-20 03:57:35.084926;3683068;3786505;6685;6758;0;0;0;0
2024-08-20 03:57:37.088068;3683262;3786557;6686;6759;0;0;0;0
2024-08-20 03:57:39.091288;3683262;3786557;6686;6759;0;0;0;0
2024-08-20 03:57:41.094120;3683546;3786685;6688;6761;0;0;0;0
2024-08-20 03:57:43.097069;3683546;3786685;6688;6761;0;0;0;0
2024-08-20 03:57:45.100161;3683740;3786737;6689;6762;0;0;0;0
2024-08-20 03:57:47.103471;3683740;3786737;6689;6762;0;0;0;0
2024-08-20 03:57:49.106481;3683934;3786789;6690;6763;0;0;0;0
2024-08-20 03:57:51.109769;3683934;3786789;6690;6763;0;0;0;0
2024-08-20 03:57:53.112678;3684128;3786841;6691;6764;0;0;0;0
2024-08-20 03:57:55.115601;3684128;3786841;6691;6764;0;0;0;0
2024-08-20 03:57:57.118618;3684412;3786969;6693;6766;0;0;0;0
2024-08-20 03:57:59.121656;3684412;3786969;6693;6766;0;0;0;0
2024-08-20 03:58:01.124794;3684606;3787021;6694;6767;0;0;0;0
2024-08-20 03:58:03.127784;3684606;3787021;6694;6767;0;0;0;0
2024-08-20 03:58:05.132437;3684800;3787073;6695;6768;0;0;0;0
2024-08-20 03:58:07.135256;3684842;3787101;6696;6769;0;0;0;0
2024-08-20 03:58:09.138258;3685306;3787381;6700;6773;0;0;0;0
2024-08-20 03:58:11.141140;3685576;3787609;6703;6776;0;0;0;0
2024-08-20 03:58:13.144237;3686040;3787889;6707;6780;0;0;0;0
2024-08-20 03:58:15.147209;3686040;3787889;6707;6780;0;0;0;0
2024-08-20 03:58:17.151106;3686234;3787941;6708;6781;0;0;0;0
2024-08-20 03:58:19.154256;3686234;3787941;6708;6781;0;0;0;0
2024-08-20 03:58:21.157406;3686428;3787993;6709;6782;0;0;0;0
2024-08-20 03:58:23.160425;3686428;3787993;6709;6782;0;0;0;0
2024-08-20 03:58:25.163515;3690447;3790596;6731;6805;0;0;0;0
2024-08-20 03:58:27.166834;3720221;3819028;6884;6956;0;0;0;0
2024-08-20 03:58:29.169795;3720311;3819104;6885;6957;0;0;0;0
2024-08-20 03:58:31.172739;3720473;3819156;6886;6958;0;0;0;0
2024-08-20 03:58:33.175834;3720473;3819156;6886;6958;0;0;0;0
2024-08-20 03:58:35.181248;3720473;3819156;6886;6958;0;0;0;0
2024-08-20 03:58:37.184048;3720667;3819208;6887;6959;0;0;0;0
2024-08-20 03:58:39.187001;3720861;3819260;6888;6960;0;0;0;0
2024-08-20 03:58:41.189961;3721055;3819260;6889;6960;0;0;0;0
2024-08-20 03:58:43.193143;3721055;3819312;6889;6961;0;0;0;0
2024-08-20 03:58:45.196205;3721393;3819486;6892;6964;0;0;0;0
2024-08-20 03:58:47.199187;3721587;3819538;6893;6965;0;0;0;0
2024-08-20 03:58:49.202198;3721781;3819590;6894;6966;0;0;0;0
2024-08-20 03:58:51.205191;3721781;3819590;6894;6966;0;0;0;0
2024-08-20 03:58:53.207854;3721975;3819642;6895;6967;0;0;0;0
2024-08-20 03:58:55.210640;3722169;3819694;6896;6968;0;0;0;0
2024-08-20 03:58:57.213567;3722363;3819746;6897;6969;0;0;0;0
2024-08-20 03:58:59.216651;3722363;3819746;6897;6969;0;0;0;0
2024-08-20 03:59:01.219711;3722647;3819874;6899;6971;0;0;0;0
2024-08-20 03:59:03.222780;3722841;3819926;6900;6972;0;0;0;0
2024-08-20 03:59:05.227413;3723077;3820006;6902;6974;0;0;0;0
2024-08-20 03:59:07.230119;3723271;3820058;6903;6975;0;0;0;0
2024-08-20 03:59:09.233123;3723271;3820058;6903;6975;0;0;0;0
2024-08-20 03:59:11.236073;3723465;3820110;6904;6976;0;0;0;0
2024-08-20 03:59:13.239070;3723839;3820314;6907;6979;0;0;0;0
2024-08-20 03:59:15.242104;3724213;3820518;6910;6982;0;0;0;0
2024-08-20 03:59:17.245299;3724663;3820898;6915;6987;0;0;0;0
2024-08-20 03:59:19.248302;3724857;3820950;6916;6988;0;0;0;0
2024-08-20 03:59:21.251347;3725051;3821002;6917;6989;0;0;0;0
2024-08-20 03:59:23.254384;3725245;3821054;6918;6990;0;0;0;0
2024-08-20 03:59:25.257466;3725471;3821106;6919;6991;0;0;0;0
2024-08-20 03:59:27.260483;3746515;3840172;7161;7233;0;0;0;0
2024-08-20 03:59:29.263691;3819989;3913202;7219;7291;0;0;0;0
2024-08-20 03:59:31.266630;3820151;3913254;7220;7292;0;0;0;0
2024-08-20 03:59:33.269452;3820435;3913382;7222;7294;0;0;0;0
2024-08-20 03:59:35.274149;3820823;3913486;7224;7296;0;0;0;0
