timestamp;read_count;write_count;read_bytes;write_bytes;read_time;write_time;read_merged_count;write_merged_count;busy_time
2024-08-20 02:50:48.671295;7845;4437;302818816;58525696;12269;4350;4271;3612;6586
2024-08-20 02:50:50.674605;7845;4437;302818816;58525696;12269;4350;4271;3612;6586
2024-08-20 02:50:52.678030;7845;4437;302818816;58525696;12269;4350;4271;3612;6586
2024-08-20 02:50:54.681049;7845;4476;302818816;58906624;12269;4387;4271;3615;6592
2024-08-20 02:50:56.684181;7845;4476;302818816;58906624;12269;4387;4271;3615;6592
2024-08-20 02:50:58.687443;7845;4476;302818816;58906624;12269;4387;4271;3615;6592
2024-08-20 02:51:00.692952;7845;4479;302818816;59066368;12269;4391;4271;3651;6595
2024-08-20 02:51:02.696001;7845;4479;302818816;59066368;12269;4391;4271;3651;6595
2024-08-20 02:51:04.699020;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:06.702319;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:08.705385;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:10.708406;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:12.711364;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:14.714366;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:16.717849;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:18.721017;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:20.724145;7845;4507;302818816;59209728;12269;4418;4271;3658;6598
2024-08-20 02:51:22.727184;7845;4508;302818816;59246592;12269;4419;4271;3663;6599
2024-08-20 02:51:24.730752;7845;4508;302818816;59246592;12269;4419;4271;3663;6599
2024-08-20 02:51:26.733725;7845;4508;302818816;59246592;12269;4419;4271;3663;6599
2024-08-20 02:51:28.737166;7845;4508;302818816;59246592;12269;4419;4271;3663;6599
2024-08-20 02:51:30.741064;7845;4510;302818816;59267072;12269;4420;4271;3666;6601
2024-08-20 02:51:32.744120;7845;4510;302818816;59267072;12269;4420;4271;3666;6601
2024-08-20 02:51:34.747039;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:36.750077;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:38.753155;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:40.756262;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:42.759307;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:44.762378;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:46.765754;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:48.769044;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:50.772024;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:52.775539;7845;4512;302818816;59275264;12269;4422;4271;3666;6602
2024-08-20 02:51:54.778601;7845;4519;302818816;59316224;12269;4430;4271;3668;6603
2024-08-20 02:51:56.781729;7845;4519;302818816;59316224;12269;4430;4271;3668;6603
2024-08-20 02:51:58.785339;7845;4519;302818816;59316224;12269;4430;4271;3668;6603
2024-08-20 02:52:00.789440;7845;4521;302818816;59336704;12269;4432;4271;3671;6605
2024-08-20 02:52:02.793059;7845;4521;302818816;59336704;12269;4432;4271;3671;6605
2024-08-20 02:52:04.796454;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:06.799507;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:08.802508;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:10.805812;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:12.808942;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:14.811991;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:16.814965;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:18.818119;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:20.821108;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:22.824063;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:24.827154;7845;4523;302818816;59344896;12269;4434;4271;3671;6606
2024-08-20 02:52:26.830433;7845;4529;302818816;59381760;12269;4438;4271;3673;6607
2024-08-20 02:52:28.833742;7845;4529;302818816;59381760;12269;4438;4271;3673;6607
2024-08-20 02:52:30.838033;7845;4531;302818816;59402240;12269;4440;4271;3676;6609
2024-08-20 02:52:32.841374;7845;4531;302818816;59402240;12269;4440;4271;3676;6609
2024-08-20 02:52:34.844547;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:36.847664;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:38.851329;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:40.854467;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:42.857501;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:44.860619;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:46.863564;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:48.866637;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:50.869668;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:52.872835;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
2024-08-20 02:52:54.876291;7845;4533;302818816;59410432;12269;4442;4271;3676;6609
