timestamp;total;available;percent;used;free;active;inactive;buffers;cached;shared;slab
2024-08-20 02:45:38.142120;100140044288;98185994240;2.0;1095766016;98675675136;311279616;80465920;20881408;347721728;3031040;213184512
2024-08-20 02:45:40.145907;100140044288;97175068672;3.0;2106580992;97664626688;1395355648;80506880;20885504;347951104;3026944;213438464
2024-08-20 02:45:42.149185;100140044288;96789172224;3.3;2492477440;97278730240;1799536640;80506880;20885504;347951104;3026944;213438464
2024-08-20 02:45:44.152712;100140044288;95054827520;5.1;4226822144;95544385536;3543191552;80506880;20885504;347951104;3026944;213438464
2024-08-20 02:45:46.155668;100140044288;95074480128;5.1;4207169536;95564038144;3543191552;80506880;20885504;347951104;3026944;213381120
2024-08-20 02:45:48.158711;100140044288;93874913280;6.3;5406736384;94364471296;4757725184;80506880;20885504;347951104;3026944;213381120
2024-08-20 02:45:50.162238;100140044288;92953247744;7.2;6328401920;93442805760;5690703872;80506880;20885504;347951104;3026944;213381120
2024-08-20 02:45:52.165587;100140044288;92962648064;7.2;6319001600;93452206080;5690703872;80506880;20885504;347951104;3026944;213381120
2024-08-20 02:45:54.168756;100140044288;92977340416;7.2;6304309248;93466898432;5690703872;80506880;20885504;347951104;3026944;213381120
2024-08-20 02:45:56.172198;100140044288;92990230528;7.1;6291415040;93479788544;5690703872;80506880;20889600;347951104;3026944;213381120
2024-08-20 02:45:58.177141;100140044288;93004169216;7.1;6277459968;93493727232;5690703872;80506880;20897792;347959296;3026944;213385216
2024-08-20 02:46:00.180647;100140044288;93012254720;7.1;6269374464;93501812736;5690703872;80506880;20897792;347959296;3026944;213385216
2024-08-20 02:46:02.183673;100140044288;92210733056;7.9;7070896128;92700291072;6495014912;80506880;20897792;347959296;3026944;213385216
2024-08-20 02:46:04.186728;100140044288;90870546432;9.3;8411082752;91360104448;7837736960;80506880;20897792;347959296;3026944;213385216
2024-08-20 02:46:06.189784;100140044288;90875699200;9.3;8405929984;91365257216;7838154752;80506880;20897792;347959296;3026944;213385216
2024-08-20 02:46:08.193123;100140044288;90885062656;9.2;8396566528;91374620672;7838154752;80506880;20897792;347959296;3026944;213385216
2024-08-20 02:46:10.197196;100140044288;90890469376;9.2;8391155712;91380027392;7838154752;80506880;20897792;347963392;3026944;213385216
2024-08-20 02:46:12.200407;100140044288;90896752640;9.2;8384868352;91386310656;7838154752;80506880;20897792;347967488;3026944;213385216
2024-08-20 02:46:14.203616;100140044288;90898268160;9.2;8383352832;91387826176;7838154752;80506880;20897792;347967488;3026944;213385216
2024-08-20 02:46:16.207223;100140044288;90908549120;9.2;8373071872;91398107136;7838154752;80506880;20897792;347967488;3026944;213385216
2024-08-20 02:46:18.210316;100140044288;90917810176;9.2;8363810816;91407368192;7838154752;80506880;20897792;347967488;3026944;213385216
2024-08-20 02:46:20.213663;100140044288;90925129728;9.2;8356491264;91414687744;7838154752;80506880;20897792;347967488;3026944;213385216
2024-08-20 02:46:22.216869;100140044288;90933018624;9.2;8348602368;91422576640;7838154752;80506880;20897792;347967488;3026944;213385216
2024-08-20 02:46:24.219949;100140044288;90937098240;9.2;8344522752;91426656256;7838154752;80506880;20897792;347967488;3026944;213385216
2024-08-20 02:46:26.223033;100140044288;90937098240;9.2;8344522752;91426656256;7838154752;80506880;20901888;347963392;3026944;213385216
2024-08-20 02:46:28.226936;100140044288;90938290176;9.2;8343318528;91427848192;7838154752;80506880;20905984;347971584;3026944;213385216
2024-08-20 02:46:30.229903;100140044288;90941915136;9.2;8339693568;91431473152;7838154752;80506880;20905984;347971584;3026944;213385216
