Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status,Cores
2024-08-16 18:58:04.036808,2024-08-16 18:59:57.534868,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,81.99,,,1748.41,1748.41,SUCCESS,1
2024-08-16 18:58:04.036808,2024-08-16 19:00:47.938934,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,37.2,,,3853.63,1926.82,SUCCESS,2
2024-08-16 18:58:04.036808,2024-08-16 19:01:21.023222,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,20.23,,,7086.03,1771.51,SUCCESS,4
2024-08-16 18:58:04.036808,2024-08-16 19:01:44.714004,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,11.09,,,12926.44,1615.81,SUCCESS,8
2024-08-16 18:58:04.036808,2024-08-16 19:02:03.549631,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,6.35,,,22563.65,1410.23,SUCCESS,16
2024-08-16 18:58:04.036808,2024-08-16 19:02:47.066433,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,27.15,,,5734.91,5734.91,SUCCESS,1
2024-08-16 18:58:04.036808,2024-08-16 19:03:15.534051,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,14.36,,,10839.56,5419.78,SUCCESS,2
2024-08-16 18:58:04.036808,2024-08-16 19:03:36.005377,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,7.19,,,21647.99,5412.0,SUCCESS,4
2024-08-16 18:58:04.036808,2024-08-16 19:03:52.329795,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,3.59,,,43327.98,5416.0,SUCCESS,8
2024-08-16 18:58:04.036808,2024-08-16 19:04:07.072019,c7a.12xlarge,i-0c02da5643c6f3c34,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,2.14,,,72701.35,4543.83,SUCCESS,16
