timestamp;user;nice;system;idle;iowait;irq;softirq;steal;guest;guest_nice
2024-08-20 03:44:09.078800;5269.01;0.47;201.77;111424.27;9.88;0.0;0.28;8.93;0.0;0.0
2024-08-20 03:44:11.081608;5269.15;0.47;202.16;111519.79;9.9;0.0;0.28;8.96;0.0;0.0
2024-08-20 03:44:13.084190;5271.02;0.47;202.3;111613.9;9.9;0.0;0.28;8.96;0.0;0.0
2024-08-20 03:44:15.086782;5272.56;0.47;202.77;111708.01;9.9;0.0;0.28;8.97;0.0;0.0
2024-08-20 03:44:17.089334;5274.16;0.47;203.18;111802.13;9.9;0.0;0.28;8.97;0.0;0.0
2024-08-20 03:44:19.091916;5276.16;0.47;203.18;111896.24;9.9;0.0;0.28;8.98;0.0;0.0
2024-08-20 03:44:21.094470;5277.71;0.47;203.63;111990.35;9.9;0.0;0.28;8.98;0.0;0.0
2024-08-20 03:44:23.097018;5279.27;0.47;204.08;112084.47;9.9;0.0;0.28;8.99;0.0;0.0
2024-08-20 03:44:25.099622;5281.28;0.47;204.08;112178.57;9.9;0.0;0.28;8.99;0.0;0.0
2024-08-20 03:44:27.101938;5283.28;0.47;204.08;112272.68;9.9;0.0;0.28;9.0;0.0;0.0
2024-08-20 03:44:29.104307;5285.28;0.47;204.08;112366.79;9.9;0.0;0.28;9.0;0.0;0.0
2024-08-20 03:44:31.106834;5287.29;0.47;204.08;112460.9;9.9;0.0;0.28;9.01;0.0;0.0
2024-08-20 03:44:33.109365;5289.29;0.47;204.08;112555.01;9.9;0.0;0.28;9.01;0.0;0.0
2024-08-20 03:44:35.112047;5291.29;0.47;204.08;112649.13;9.9;0.0;0.28;9.02;0.0;0.0
2024-08-20 03:44:37.114594;5293.3;0.47;204.08;112743.24;9.9;0.0;0.28;9.02;0.0;0.0
2024-08-20 03:44:39.117145;5294.84;0.47;204.55;112837.35;9.9;0.0;0.28;9.03;0.0;0.0
2024-08-20 03:44:41.119789;5296.41;0.47;204.99;112931.46;9.9;0.0;0.28;9.03;0.0;0.0
2024-08-20 03:44:43.122344;5298.41;0.47;204.99;113025.57;9.9;0.0;0.28;9.04;0.0;0.0
2024-08-20 03:44:45.124889;5300.42;0.47;204.99;113119.69;9.9;0.0;0.28;9.04;0.0;0.0
2024-08-20 03:44:47.127524;5302.42;0.47;204.99;113213.8;9.9;0.0;0.28;9.05;0.0;0.0
2024-08-20 03:44:49.130025;5304.43;0.47;204.99;113307.91;9.9;0.0;0.28;9.05;0.0;0.0
2024-08-20 03:44:51.132582;5306.43;0.47;204.99;113402.02;9.9;0.0;0.28;9.09;0.0;0.0
2024-08-20 03:44:53.135199;5308.43;0.47;204.99;113496.14;9.9;0.0;0.28;9.09;0.0;0.0
2024-08-20 03:44:55.137777;5310.44;0.47;205.0;113590.26;9.9;0.0;0.28;9.1;0.0;0.0
2024-08-20 03:44:57.140350;5312.44;0.47;205.0;113684.37;9.9;0.0;0.28;9.1;0.0;0.0
2024-08-20 03:44:59.142877;5314.45;0.47;205.0;113778.48;9.9;0.0;0.28;9.11;0.0;0.0
2024-08-20 03:45:01.145420;5316.45;0.47;205.0;113872.59;9.9;0.0;0.28;9.11;0.0;0.0
2024-08-20 03:45:03.148031;5318.46;0.47;205.0;113966.7;9.9;0.0;0.28;9.13;0.0;0.0
2024-08-20 03:45:05.150592;5320.46;0.47;205.0;114060.81;9.9;0.0;0.28;9.13;0.0;0.0
2024-08-20 03:45:07.153141;5322.47;0.47;205.0;114154.93;9.9;0.0;0.28;9.14;0.0;0.0
2024-08-20 03:45:09.155750;5324.47;0.47;205.01;114249.04;9.9;0.0;0.28;9.14;0.0;0.0
