timestamp;user;nice;system;idle;iowait;irq;softirq;steal;guest;guest_nice
2024-08-20 04:13:10.606426;3693.36;0.01;215.66;58683.38;7.46;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:12.609676;3693.86;0.01;216.49;58778.13;7.46;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:14.612305;3695.36;0.01;216.99;58872.26;7.46;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:16.615250;3697.37;0.01;216.99;58966.39;7.46;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:18.618173;3699.37;0.01;216.99;59060.52;7.47;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:20.621302;3701.38;0.01;216.99;59154.66;7.47;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:22.624269;3703.38;0.01;216.99;59248.79;7.47;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:24.627324;3705.39;0.01;217.0;59342.93;7.47;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:26.630391;3707.39;0.01;217.0;59437.06;7.47;0.0;1.51;0.58;0.0;0.0
2024-08-20 04:13:28.633564;3709.4;0.01;217.0;59531.2;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:30.636523;3711.4;0.01;217.0;59625.34;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:32.639702;3713.4;0.01;217.0;59719.49;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:34.642746;3715.41;0.01;217.0;59813.62;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:36.645816;3717.41;0.01;217.01;59907.76;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:38.648815;3718.88;0.01;217.22;60002.2;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:40.652154;3719.24;0.01;218.04;60097.1;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:42.655105;3722.63;0.01;218.66;60189.19;7.47;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:44.658187;3726.63;0.01;218.68;60281.27;7.48;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:46.661131;3730.62;0.01;218.7;60373.36;7.48;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:48.664170;3734.61;0.01;218.71;60465.45;7.48;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:50.667179;3738.61;0.01;218.73;60557.53;7.48;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:52.670249;3742.6;0.01;218.75;60649.62;7.48;0.0;1.51;0.59;0.0;0.0
2024-08-20 04:13:54.673287;3746.6;0.01;218.76;60741.71;7.48;0.0;1.51;0.6;0.0;0.0
2024-08-20 04:13:56.676439;3747.58;0.01;219.06;60836.54;7.48;0.0;1.51;0.6;0.0;0.0
2024-08-20 04:13:58.679766;3752.74;0.01;220.52;60925.99;7.48;0.0;1.51;0.6;0.0;0.0
2024-08-20 04:14:00.682726;3760.67;0.01;220.6;61014.09;7.48;0.0;1.51;0.6;0.0;0.0
2024-08-20 04:14:02.685634;3768.63;0.01;220.66;61102.18;7.48;0.0;1.52;0.6;0.0;0.0
2024-08-20 04:14:04.688533;3776.57;0.01;220.73;61190.29;7.48;0.0;1.52;0.6;0.0;0.0
2024-08-20 04:14:06.691449;3780.07;0.01;221.08;61282.55;7.48;0.0;1.52;0.6;0.0;0.0
2024-08-20 04:14:08.694602;3788.51;0.01;222.86;61368.49;7.48;0.0;1.53;0.6;0.0;0.0
2024-08-20 04:14:10.700603;3804.43;0.01;222.97;61448.6;7.49;0.0;1.53;0.6;0.0;0.0
2024-08-20 04:14:12.704176;3820.36;0.01;223.08;61528.69;7.49;0.0;1.53;0.6;0.0;0.0
2024-08-20 04:14:14.707625;3829.95;0.01;223.69;61614.58;7.49;0.0;1.53;0.6;0.0;0.0
2024-08-20 04:14:16.710799;3842.37;0.01;226.18;61695.61;7.49;0.0;1.55;0.6;0.0;0.0
2024-08-20 04:14:18.716429;3874.31;0.01;226.36;61759.7;7.49;0.0;1.56;0.6;0.0;0.0
2024-08-20 04:14:20.723490;3906.18;0.01;226.58;61823.79;7.5;0.0;1.56;0.61;0.0;0.0
2024-08-20 04:14:22.729631;3936.86;0.01;227.5;61888.0;7.5;0.0;1.56;0.65;0.0;0.0
