Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status,Cores
2024-08-19 21:36:37.775142,2024-08-19 21:38:35.979805,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,83.61,,,1714.57,1714.57,SUCCESS,1
2024-08-19 21:36:37.775142,2024-08-19 21:39:17.967494,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,38.76,,,3698.59,1849.30,SUCCESS,2
2024-08-19 21:36:37.775142,2024-08-19 21:39:42.174515,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,20.81,,,6888.19,1722.05,SUCCESS,4
2024-08-19 21:36:37.775142,2024-08-19 21:39:56.229188,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,11.21,,,12792.23,1599.03,SUCCESS,8
2024-08-19 21:36:37.775142,2024-08-19 21:40:05.479353,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,6.39,,,22437.96,1402.37,SUCCESS,16
2024-08-19 21:36:37.775142,2024-08-19 21:40:50.173194,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,26.49,,,5877.83,5877.83,SUCCESS,1
2024-08-19 21:36:37.775142,2024-08-19 21:41:08.780143,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,13.98,,,11134.84,5567.42,SUCCESS,2
2024-08-19 21:36:37.775142,2024-08-19 21:41:19.595922,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,7.10,,,21943.32,5485.83,SUCCESS,4
2024-08-19 21:36:37.775142,2024-08-19 21:41:26.384064,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,3.52,,,44171.21,5521.40,SUCCESS,8
2024-08-19 21:36:37.775142,2024-08-19 21:41:31.497327,c7a.12xlarge,i-02b9509c954fbd24e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,2.09,,,74655.55,4665.97,SUCCESS,16
