Start_Time,End_Time,Instance,Ondemand_Price,Spot_Price,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2024-06-18 09:47:49.443278,2024-06-18 09:48:54.623680,c7a.12xlarge,2.4633600000,1.168000,us-east-1,d,NAS Benchmark,D,38.21,24,24,3597.18,149.88,SUCCESS
2024-06-18 09:47:49.443278,2024-06-18 09:49:59.304312,c7a.12xlarge,2.4633600000,1.168000,us-east-1,d,NAS Benchmark,D,63.55,24,24,2162.56,90.11,SUCCESS
2024-06-18 09:47:49.443278,2024-06-18 09:51:03.393325,c7a.12xlarge,2.4633600000,1.168000,us-east-1,d,NAS Benchmark,D,62.97,24,24,2182.71,90.95,SUCCESS
2024-06-18 09:47:49.443278,2024-06-18 09:51:42.001169,c7a.12xlarge,2.4633600000,1.168000,us-east-1,d,NAS Benchmark,D,37.49,24,24,3665.97,152.75,SUCCESS
2024-06-18 09:47:49.443278,2024-06-18 09:52:46.386304,c7a.12xlarge,2.4633600000,1.168000,us-east-1,d,NAS Benchmark,D,63.26,24,24,2172.48,90.52,SUCCESS
2024-06-18 09:54:03.601630,2024-06-18 09:55:37.040325,c6g.12xlarge,1.6320000000,0.701400,us-east-1,a,NAS Benchmark,D,67.35,24,24,2040.67,85.03,SUCCESS
2024-06-18 09:54:03.601630,2024-06-18 09:56:45.432866,c6g.12xlarge,1.6320000000,0.701400,us-east-1,a,NAS Benchmark,D,67.27,24,24,2043.00,85.12,SUCCESS
2024-06-18 09:54:03.601630,2024-06-18 09:57:53.794760,c6g.12xlarge,1.6320000000,0.701400,us-east-1,a,NAS Benchmark,D,67.28,24,24,2042.69,85.11,SUCCESS
2024-06-18 09:54:03.601630,2024-06-18 09:59:02.230169,c6g.12xlarge,1.6320000000,0.701400,us-east-1,a,NAS Benchmark,D,67.30,24,24,2042.08,85.09,SUCCESS
2024-06-18 09:54:03.601630,2024-06-18 10:00:10.589750,c6g.12xlarge,1.6320000000,0.701400,us-east-1,a,NAS Benchmark,D,67.27,24,24,2042.98,85.12,SUCCESS
2024-06-18 10:01:27.908098,2024-06-18 10:02:38.979076,c7g.12xlarge,1.7400000000,0.791300,us-east-1,f,NAS Benchmark,D,44.63,24,24,3079.69,128.32,SUCCESS
