Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2024-06-22 12:03:44.163793,2024-06-22 12:05:13.188415,c7a.12xlarge,i-0d8ce31d6c2ef43cd,2.46336,ondemand,us-east-1,d,NAS Benchmark,D,62.27,24.0,24.0,2207.03,91.96,SUCCESS
2024-06-22 12:03:44.163793,2024-06-22 12:06:16.494683,c7a.12xlarge,i-0d8ce31d6c2ef43cd,2.46336,ondemand,us-east-1,d,NAS Benchmark,D,62.27,24.0,24.0,2207.11,91.96,SUCCESS
2024-06-22 12:03:44.163793,2024-06-22 12:07:19.819238,c7a.12xlarge,i-0d8ce31d6c2ef43cd,2.46336,ondemand,us-east-1,d,NAS Benchmark,D,62.29,24.0,24.0,2206.54,91.94,SUCCESS
2024-06-22 12:03:44.163793,2024-06-22 12:08:23.091317,c7a.12xlarge,i-0d8ce31d6c2ef43cd,2.46336,ondemand,us-east-1,d,NAS Benchmark,D,62.24,24.0,24.0,2208.36,92.02,SUCCESS
2024-06-22 12:03:44.163793,2024-06-22 12:09:26.444544,c7a.12xlarge,i-0d8ce31d6c2ef43cd,2.46336,ondemand,us-east-1,d,NAS Benchmark,D,62.32,24.0,24.0,2205.55,91.9,SUCCESS
2024-06-22 12:10:13.256893,2024-06-22 12:11:46.559947,c6g.12xlarge,i-036ec6eac6f280b90,1.632,ondemand,us-east-1,a,NAS Benchmark,D,67.48,24.0,24.0,2036.88,84.87,SUCCESS
2024-06-22 12:10:13.256893,2024-06-22 12:12:54.880901,c6g.12xlarge,i-036ec6eac6f280b90,1.632,ondemand,us-east-1,a,NAS Benchmark,D,67.28,24.0,24.0,2042.82,85.12,SUCCESS
2024-06-22 12:10:13.256893,2024-06-22 12:14:03.227160,c6g.12xlarge,i-036ec6eac6f280b90,1.632,ondemand,us-east-1,a,NAS Benchmark,D,67.31,24.0,24.0,2041.88,85.08,SUCCESS
2024-06-22 12:10:13.256893,2024-06-22 12:15:11.549945,c6g.12xlarge,i-036ec6eac6f280b90,1.632,ondemand,us-east-1,a,NAS Benchmark,D,67.28,24.0,24.0,2042.65,85.11,SUCCESS
2024-06-22 12:10:13.256893,2024-06-22 12:16:19.897080,c6g.12xlarge,i-036ec6eac6f280b90,1.632,ondemand,us-east-1,a,NAS Benchmark,D,67.3,24.0,24.0,2042.18,85.09,SUCCESS
