timestamp;bytes_sent;bytes_recv;packets_sent;packets_recv;errin;errout;dropin;dropout
2024-08-19 19:52:54.186913;52674;354684;420;542;0;0;0;0
2024-08-19 19:52:56.192121;63665;373830;531;656;0;0;0;0
2024-08-19 19:52:58.279495;65241;375024;547;672;0;0;0;0
2024-08-19 19:53:00.281979;65557;375152;549;674;0;0;0;0
2024-08-19 19:53:02.284301;65557;375152;549;674;0;0;0;0
2024-08-19 19:53:04.286643;65735;375204;550;675;0;0;0;0
2024-08-19 19:53:06.288966;65735;375204;550;675;0;0;0;0
2024-08-19 19:53:08.291277;65735;375204;550;675;0;0;0;0
2024-08-19 19:53:10.293652;66003;375332;552;677;0;0;0;0
2024-08-19 19:53:12.296001;66073;375332;553;677;0;0;0;0
2024-08-19 19:53:14.298453;66127;375378;554;678;0;0;0;0
2024-08-19 19:53:16.300807;66305;375430;555;679;0;0;0;0
2024-08-19 19:53:18.303145;66305;375430;555;679;0;0;0;0
2024-08-19 19:53:20.305512;66483;375482;556;680;0;0;0;0
2024-08-19 19:53:22.307867;66483;375482;556;680;0;0;0;0
2024-08-19 19:53:24.310190;66483;375482;556;680;0;0;0;0
2024-08-19 19:53:26.316915;66661;375534;557;681;0;0;0;0
2024-08-19 19:53:28.319269;66813;375658;559;683;0;0;0;0
2024-08-19 19:53:30.321584;67053;375658;561;683;0;0;0;0
2024-08-19 19:53:32.323930;67115;375710;562;684;0;0;0;0
2024-08-19 19:53:34.326331;67115;375710;562;684;0;0;0;0
2024-08-19 19:53:36.328828;67355;375762;564;685;0;0;0;0
2024-08-19 19:53:38.331176;67355;375762;564;685;0;0;0;0
2024-08-19 19:53:40.333535;67425;375762;565;685;0;0;0;0
2024-08-19 19:53:42.335874;67603;375814;566;686;0;0;0;0
2024-08-19 19:53:44.338485;67809;375936;569;688;0;0;0;0
2024-08-19 19:53:46.340834;67987;375988;570;689;0;0;0;0
2024-08-19 19:53:48.343187;67987;375988;570;689;0;0;0;0
2024-08-19 19:53:50.345571;67987;375988;570;689;0;0;0;0
2024-08-19 19:53:52.347949;68207;376068;572;691;0;0;0;0
2024-08-19 19:53:54.350364;68207;376068;572;691;0;0;0;0
2024-08-19 19:53:56.353458;68207;376068;572;691;0;0;0;0
2024-08-19 19:53:58.355806;68385;376120;573;692;0;0;0;0
2024-08-19 19:54:00.358145;69167;376728;582;700;0;0;0;0
2024-08-19 19:54:02.360553;69345;376780;583;701;0;0;0;0
2024-08-19 19:54:04.362906;69435;376856;584;702;0;0;0;0
2024-08-19 19:54:06.365277;69435;376856;584;702;0;0;0;0
2024-08-19 19:54:08.367632;69613;376908;585;703;0;0;0;0
2024-08-19 19:54:10.369965;69613;376908;585;703;0;0;0;0
2024-08-19 19:54:12.372320;69613;376908;585;703;0;0;0;0
2024-08-19 19:54:14.374746;69791;376960;586;704;0;0;0;0
2024-08-19 19:54:16.377119;69881;377036;587;705;0;0;0;0
2024-08-19 19:54:18.379447;73653;379534;606;726;0;0;0;0
2024-08-19 19:54:20.381808;82233;382978;631;747;0;0;0;0
2024-08-19 19:54:22.384169;100053;387334;660;772;0;0;0;0
2024-08-19 19:54:24.386512;117129;392546;692;803;0;0;0;0
