2024-08-19 22:02:13.166218;815911;921797;2443;2485;0;0;0;0
2024-08-19 22:02:15.169521;2014555;2119501;3776;3820;0;0;0;0
2024-08-19 22:02:17.173792;2015137;2119657;3779;3823;0;0;0;0
2024-08-19 22:02:19.179065;2015671;2119761;3782;3825;0;0;0;0
2024-08-19 22:02:21.184318;2016027;2119917;3784;3828;0;0;0;0
2024-08-19 22:02:23.189623;2016603;2120101;3788;3832;0;0;0;0
2024-08-19 22:02:25.194873;2017227;2120333;3792;3836;0;0;0;0
2024-08-19 22:02:27.200249;2039905;2149399;4002;4051;0;0;0;0
2024-08-19 22:02:29.203499;2045779;2153327;4026;4069;0;0;0;0
2024-08-19 22:02:31.206729;2055155;2157083;4053;4094;0;0;0;0
2024-08-19 22:02:33.210211;2063179;2162217;4083;4125;0;0;0;0
