timestamp;total;available;percent;used;free;active;inactive;buffers;cached;shared;slab
2024-08-19 19:52:54.186913;99083063296;97694044160;1.4;560537600;98201378816;297271296;73478144;21372928;299773952;3223552;194502656
2024-08-19 19:52:56.192121;99083063296;97667321856;1.4;566779904;98154078208;327434240;80056320;21733376;340471808;3231744;197935104
2024-08-19 19:52:58.279495;99083063296;96572948480;2.5;1660178432;97058705408;1419124736;80519168;21733376;342446080;3231744;198049792
2024-08-19 19:53:00.281979;99083063296;96577568768;2.5;1655558144;97063325696;1417474048;80519168;21733376;342446080;3231744;198049792
2024-08-19 19:53:02.284301;99083063296;96578908160;2.5;1654214656;97064660992;1417478144;80519168;21733376;342454272;3231744;198086656
2024-08-19 19:53:04.286643;99083063296;96582545408;2.5;1650577408;97068298240;1417478144;80519168;21733376;342454272;3231744;198086656
2024-08-19 19:53:06.288966;99083063296;96585183232;2.5;1647939584;97070936064;1417478144;80519168;21733376;342454272;3231744;198086656
2024-08-19 19:53:08.291277;99083063296;96588197888;2.5;1644924928;97073950720;1417478144;80519168;21733376;342454272;3231744;198086656
2024-08-19 19:53:10.293652;99083063296;96590921728;2.5;1642205184;97076674560;1416597504;80519168;21733376;342450176;3227648;198078464
2024-08-19 19:53:12.296001;99083063296;96593604608;2.5;1639526400;97079353344;1416597504;80523264;21733376;342450176;3227648;198086656
2024-08-19 19:53:14.298453;99083063296;96593367040;2.5;1639751680;97079107584;1416597504;80523264;21733376;342470656;3227648;198103040
2024-08-19 19:53:16.300807;99083063296;96596475904;2.5;1636642816;97082216448;1416597504;80523264;21733376;342470656;3227648;198103040
2024-08-19 19:53:18.303145;99083063296;96598188032;2.5;1634938880;97083928576;1415720960;80527360;21733376;342462464;3223552;198115328
2024-08-19 19:53:20.305512;99083063296;96609996800;2.5;1623134208;97095737344;1414803456;80527360;21733376;342458368;3219456;198107136
2024-08-19 19:53:22.307867;99083063296;96612442112;2.5;1620688896;97098182656;1414803456;80527360;21733376;342458368;3219456;198107136
2024-08-19 19:53:24.310190;99083063296;96615079936;2.5;1618051072;97100820480;1414803456;80527360;21741568;342450176;3219456;198107136
2024-08-19 19:53:26.316915;99083063296;96616493056;2.5;1616617472;97102233600;1414803456;80527360;21745664;342466560;3219456;198135808
2024-08-19 19:53:28.319269;99083063296;96616976384;2.5;1616134144;97102716928;1414803456;80527360;21745664;342466560;3219456;198184960
2024-08-19 19:53:30.321584;99083063296;96618278912;2.5;1614831616;97104019456;1414803456;80527360;21745664;342466560;3219456;198184960
2024-08-19 19:53:32.323930;99083063296;96619016192;2.5;1614094336;97104756736;1414803456;80527360;21745664;342466560;3219456;198184960
2024-08-19 19:53:34.326331;99083063296;96618770432;2.5;1614336000;97104510976;1414803456;80527360;21745664;342470656;3219456;198184960
2024-08-19 19:53:36.328828;99083063296;96619659264;2.5;1613430784;97105383424;1414803456;80527360;21745664;342503424;3219456;198225920
2024-08-19 19:53:38.331176;99083063296;96620298240;2.5;1612791808;97106022400;1414803456;80527360;21745664;342503424;3219456;198230016
2024-08-19 19:53:40.333535;99083063296;96620306432;2.5;1612787712;97106026496;1414828032;80535552;21745664;342503424;3219456;198176768
2024-08-19 19:53:42.335874;99083063296;96620863488;2.5;1612230656;97106583552;1414828032;80535552;21745664;342503424;3219456;198176768
2024-08-19 19:53:44.338485;99083063296;96620863488;2.5;1612230656;97106583552;1414828032;80535552;21745664;342503424;3219456;198176768
2024-08-19 19:53:46.340834;99083063296;96621993984;2.5;1611100160;97107714048;1414828032;80535552;21745664;342503424;3219456;198176768
2024-08-19 19:53:48.343187;99083063296;96621993984;2.5;1611100160;97107714048;1414828032;80535552;21745664;342503424;3219456;198176768
2024-08-19 19:53:50.345571;99083063296;96621993984;2.5;1611100160;97107714048;1414828032;80535552;21745664;342503424;3219456;198176768
2024-08-19 19:53:52.347949;99083063296;96622034944;2.5;1611059200;97107755008;1414828032;80535552;21745664;342503424;3219456;198176768
